Matchday,HomeTeam,AwayTeam,HomeGoals,AwayGoals,HomePosition,HomeAvgPoints,AwayPosition,AwayAvgPoints,AvgPointDelta,GoalDifference,HomePoints,AwayPoints,result,Season
3.0,Augsburg,Hoffenheim,0,2,13,1.0,13,1.0,0.0,-2,0,3,2,1112
3.0,Bayern Munich,Hamburg,5,0,9,1.5,9,1.5,0.0,5,3,0,1,1112
3.0,Dortmund,Nurnberg,2,0,6,1.5,6,1.5,0.0,2,3,0,1,1112
3.0,Hannover,Hertha,1,1,2,3.0,2,3.0,0.0,0,1,1,X,1112
3.0,Mainz,Schalke 04,2,4,1,3.0,1,3.0,0.0,-2,0,3,2,1112
4.0,Hertha,Stuttgart,1,0,13,0.6666666666666666,13,0.6666666666666666,0.0,1,3,0,1,1112
4.0,Nurnberg,Augsburg,1,0,12,1.0,12,1.0,0.0,1,3,0,1,1112
4.0,Leverkusen,Dortmund,0,0,9,2.0,9,2.0,0.0,0,1,1,X,1112
4.0,Kaiserslautern,Bayern Munich,0,3,15,0.6666666666666666,15,0.6666666666666666,0.0,-3,0,3,2,1112
4.0,Hamburg,FC Koln,3,4,18,0.3333333333333333,18,0.3333333333333333,0.0,-1,0,3,2,1112
4.0,Freiburg,Wolfsburg,3,0,16,0.3333333333333333,16,0.3333333333333333,0.0,3,3,0,1,1112
4.0,Hoffenheim,Werder Bremen,1,2,7,2.0,7,2.0,0.0,-1,0,3,2,1112
4.0,Hannover,Mainz,1,1,2,2.3333333333333335,2,2.3333333333333335,0.0,0,1,1,X,1112
4.0,Schalke 04,M'gladbach,1,0,5,2.0,5,2.0,0.0,1,3,0,1,1112
5.0,Augsburg,Leverkusen,1,4,16,0.5,16,0.5,0.0,-3,0,3,2,1112
5.0,Stuttgart,Hannover,3,0,12,1.0,12,1.0,0.0,3,3,0,1,1112
5.0,Werder Bremen,Hamburg,2,0,3,2.25,3,2.25,0.0,2,3,0,1,1112
5.0,M'gladbach,Kaiserslautern,1,0,6,1.75,6,1.75,0.0,1,3,0,1,1112
5.0,Bayern Munich,Freiburg,7,0,1,2.25,1,2.25,0.0,7,3,0,1,1112
5.0,Dortmund,Hertha,1,2,5,1.75,5,1.75,0.0,-1,0,3,2,1112
5.0,Mainz,Hoffenheim,0,4,7,1.75,7,1.75,0.0,-4,0,3,2,1112
5.0,FC Koln,Nurnberg,1,2,14,1.0,14,1.0,0.0,-1,0,3,2,1112
5.0,Wolfsburg,Schalke 04,2,1,15,0.75,15,0.75,0.0,1,3,0,1,1112
6.0,Freiburg,Stuttgart,1,2,15,0.8,15,0.8,0.0,-1,0,3,2,1112
6.0,Hamburg,M'gladbach,0,1,18,0.2,18,0.2,0.0,-1,0,3,2,1112
6.0,Hertha,Augsburg,2,2,8,1.6,8,1.6,0.0,0,1,1,X,1112
6.0,Hoffenheim,Wolfsburg,3,1,5,1.8,5,1.8,0.0,2,3,0,1,1112
6.0,Kaiserslautern,Mainz,3,1,17,0.4,17,0.4,0.0,2,3,0,1,1112
6.0,Leverkusen,FC Koln,1,4,4,2.0,4,2.0,0.0,-3,0,3,2,1112
6.0,Nurnberg,Werder Bremen,1,1,7,1.8,7,1.8,0.0,0,1,1,X,1112
6.0,Hannover,Dortmund,2,1,9,1.6,9,1.6,0.0,1,3,0,1,1112
6.0,Schalke 04,Bayern Munich,0,2,6,1.8,6,1.8,0.0,-2,0,3,2,1112
7.0,Stuttgart,Hamburg,1,2,6,1.6666666666666667,6,1.6666666666666667,0.0,-1,0,3,2,1112
7.0,Wolfsburg,Kaiserslautern,1,0,14,1.0,14,1.0,0.0,1,3,0,1,1112
7.0,Schalke 04,Freiburg,4,2,10,1.5,10,1.5,0.0,2,3,0,1,1112
7.0,M'gladbach,Nurnberg,1,0,3,2.1666666666666665,3,2.1666666666666665,0.0,1,3,0,1,1112
7.0,Bayern Munich,Leverkusen,3,0,1,2.5,1,2.5,0.0,3,3,0,1,1112
7.0,Augsburg,Hannover,0,0,17,0.5,17,0.5,0.0,0,1,1,X,1112
7.0,Mainz,Dortmund,1,2,13,1.1666666666666667,13,1.1666666666666667,0.0,-1,0,3,2,1112
7.0,FC Koln,Hoffenheim,2,0,12,1.1666666666666667,12,1.1666666666666667,0.0,2,3,0,1,1112
7.0,Werder Bremen,Hertha,2,1,2,2.1666666666666665,2,2.1666666666666665,0.0,1,3,0,1,1112
8.0,Kaiserslautern,Stuttgart,0,2,15,0.7142857142857143,15,0.7142857142857143,0.0,-2,0,3,2,1112
8.0,Nurnberg,Mainz,3,3,9,1.4285714285714286,9,1.4285714285714286,0.0,0,1,1,X,1112
8.0,Leverkusen,Wolfsburg,3,1,11,1.4285714285714286,11,1.4285714285714286,0.0,2,3,0,1,1112
8.0,Hoffenheim,Bayern Munich,0,0,4,1.7142857142857142,4,1.7142857142857142,0.0,0,1,1,X,1112
